id,yVolume,ma5,ma20,ma60,ma120,ma240
3062,2376,2039,2504,4354,5498,9055
3063,0,0,0,0,0,0
3064,8,25,12,15,9,6
3066,76,94,57,90,136,343
3067,1,72,20,9,5,5
3068,0,0,0,0,0,0
3069,0,0,0,0,0,0
3071,268,201,238,170,217,281
3073,0,0,7,14,11,9
3078,618,692,1020,563,405,355
3079,0,0,0,0,0,0
3080,0,0,0,0,0,0
3081,1495,2410,2917,3276,3171,2215
3083,122,215,347,981,629,495
3085,13,16,9,14,21,23
3086,8,7,18,65,89,131
3087,0,0,0,0,0,0
3088,2014,2643,1830,798,539,721
3089,90,48,39,98,116,78
3090,716,692,558,462,363,335
3092,514,367,440,615,475,990
3093,6271,2736,1477,759,430,625
3094,1067,1858,3471,1346,802,768
3095,25,19,14,15,45,59
3099,0,0,0,0,0,0
3105,3980,4371,6024,5550,5419,4614
3114,173,343,176,119,167,244
3115,9,7,8,7,15,22
3118,14,33,24,22,24,48
3122,488,328,499,375,461,1064
3126,0,0,0,0,0,0
3128,2429,7920,5498,6207,8427,4423
3130,13,18,20,16,14,14
3131,91,164,117,103,149,126
3138,2959,1723,1063,781,882,686
3141,2701,7003,6038,4533,4551,6141
3142,0,0,0,0,0,0
3144,0,0,0,0,0,0
3147,2236,2565,1063,461,382,395
3149,1703,665,506,769,1239,1024
3152,74,178,269,167,140,120
3162,5742,6919,6103,4981,3513,2005
3163,1758,2189,2374,2325,2769,4039
3164,88,77,160,317,537,344
3167,139,63,51,46,70,144
3169,1406,2858,1317,951,964,1837
3171,23,41,26,22,15,31
3176,108,192,194,272,270,373
3178,206,82,132,179,202,238
3188,239,224,239,230,275,171
3189,6073,7668,6722,9662,12792,13148
3191,14,17,29,70,63,61
3202,124,248,286,272,274,317
3205,478,231,519,710,1088,1623
3206,194,343,168,168,124,85
3207,5425,9526,7524,5077,5543,4071
3209,1913,2051,2457,1257,982,1476
3211,158,261,244,180,165,420
3213,104,69,62,39,38,75
3217,1572,668,1065,690,605,667
3218,381,328,519,750,624,584
3219,15,23,74,89,62,49
3221,1095,1104,1583,869,898,2228
3224,579,706,1815,796,747,549
3226,1,2,3,10,6,4
3227,438,511,597,600,488,512
3228,1653,1696,1835,2157,2157,1886
3229,25,17,18,37,83,80
3230,190,178,104,174,323,311
3231,11521,10328,10527,12982,11302,10207
3232,174,217,189,277,328,464
3234,330,313,541,826,706,1238
3236,2501,2714,911,1186,908,529
3252,605,434,741,665,577,821
3257,498,167,210,115,91,147
3259,162,81,103,89,61,62
3260,1639,2874,2385,1767,1775,1847
3264,14671,6698,5188,3454,3920,3579
3265,7013,3522,1666,1588,1389,2656
3266,57,87,69,61,84,295
3268,86,51,70,70,94,146
3271,0,0,0,0,0,0
3272,2207,1239,864,1362,2275,1189
3276,130,142,378,174,145,245
3284,187,177,123,143,158,140
3285,72,33,24,31,74,72
3287,78,71,76,198,178,159
3288,8,6,7,8,10,14
3289,1875,2167,3293,5184,6331,3441
3290,924,2847,3014,1663,1010,640
3291,0,0,0,0,0,0
3293,1994,2083,1467,1950,1435,1024
3294,180,109,150,205,188,427
3296,1610,1275,1016,608,874,694
3297,1693,981,486,729,704,420
3298,0,0,0,0,0,0
3299,0,0,0,0,0,0
3303,258,218,189,138,294,244
3305,716,688,911,948,820,1445
3306,192,128,199,160,255,363
3308,82,88,116,76,55,85
3310,311,228,238,146,110,107
3311,78,71,38,32,36,58
3312,318,477,262,225,267,639
3313,104,139,94,63,62,225
3315,0,0,0,0,0,0
3317,310,350,374,477,483,795
3321,875,919,464,281,205,238
3322,655,978,1296,885,916,1213
3323,633,341,208,186,231,244
3324,1369,1067,1638,1407,1810,2753
3325,111,159,158,145,133,148
3332,31,27,82,47,32,35
3338,279,515,380,222,201,281
3339,183,157,180,299,245,266
3346,869,2600,1527,1676,1803,1471
3349,63,23,28,15,18,35
3354,123,160,120,135,194,575
3356,8323,10852,4082,4722,5756,3600
3357,142,231,360,172,115,107
3360,104,113,81,92,84,202
3362,29970,26452,9204,4778,4249,3214
3363,137,135,147,322,251,312
3367,0,0,0,0,0,0
3369,0,0,0,0,0,0
3372,672,706,414,461,384,446
3373,57,76,82,348,451,294
3374,651,780,1449,1725,2128,3036
3376,294,375,502,341,396,410
3379,45,85,46,44,37,112
3380,9459,5740,2562,2342,2656,2674
3383,0,0,0,0,138,194
3388,123,104,47,35,39,51
3389,0,0,0,0,0,0
3390,224,243,268,209,401,1012
3402,354,327,233,208,252,311
3406,5492,4105,2497,2395,3676,3126
3413,2084,1035,643,498,615,594
3416,951,1117,633,248,178,110
3419,1099,1807,1871,2281,2254,1697
3426,15,14,6,3,3,5
3428,0,0,0,0,0,0
3430,106,182,171,162,460,230
3431,0,0,0,0,0,0
3432,1948,2890,1340,845,1436,1458
3434,793,959,316,282,508,1046
3437,515,403,254,185,175,280
3438,148,448,570,400,360,297
3441,6909,4206,1546,1585,1469,1616
3443,5478,7476,8638,7439,8002,5979
3444,264,313,1012,1448,986,732
3447,1071,681,719,815,407,204
3450,174,150,272,223,223,268
3452,0,0,0,0,0,0
3454,9293,14099,9699,10977,11413,5939
3455,480,529,570,524,508,787
3465,29,23,26,22,19,33
3466,220,516,617,1217,921,942
3474,0,0,0,0,0,0
3479,13930,6369,6543,5240,2785,1700
3481,113999,132590,119690,66735,64230,72334
3483,528,456,806,566,447,542
3484,220,266,198,133,175,237
3489,74,43,59,31,32,121
3490,309,133,110,163,167,290
3491,3092,4301,2387,2088,2278,3775
3492,87,70,56,91,175,113
3494,811,669,1383,1636,1576,2122
3498,331,295,359,352,256,171
3499,542,569,567,807,906,1044
3501,172,276,176,224,167,114
3504,7041,4062,1782,1792,3788,4809
3508,508,655,1101,1500,1176,3979
3511,737,577,549,491,1224,922
3512,65,44,37,30,31,54
3514,0,0,0,0,0,0
3515,531,1023,1787,3016,2903,1875
3516,16,23,31,56,67,65
3518,721,257,190,191,251,250
3519,0,0,0,0,0,0
3520,1006,1189,1661,1253,1744,2938
3521,234,321,530,669,1530,1168
3522,65,78,92,52,45,125
3523,75,59,39,32,91,57
3526,899,613,398,264,314,396
3527,186,198,373,277,271,436
3528,435,349,426,158,88,55
3529,793,807,868,804,1155,1172
3530,125,158,201,190,163,326
3531,186,104,68,54,116,232
3532,969,920,1030,1381,2170,5181
3533,514,746,738,713,825,841
3534,0,0,0,0,0,0
3535,1624,1658,1180,1296,2445,4387
3536,53,38,51,46,38,38
3537,376,376,302,160,112,173
3540,528,490,1008,529,295,234
3541,61,66,71,61,72,129
3543,103,70,51,32,32,32
3545,2029,4447,4711,3729,4682,4510
3546,63,72,108,193,176,158
3548,310,582,873,416,289,301
3550,491,200,181,104,90,103
3551,63,73,83,59,68,117
3552,9865,2316,1692,1505,2794,3589
3553,0,0,0,0,0,0
3555,3,4,10,11,13,16
3556,195,169,160,112,118,221
3557,252,286,201,108,122,98
3558,8027,8971,7480,5278,5431,7096
3559,0,0,0,0,0,0
3561,0,0,0,0,0,0
3562,0,0,0,0,0,0
3563,328,309,357,180,137,119
3564,393,772,853,370,314,312
3567,42,40,66,78,57,61
3570,78,161,56,26,18,23
3573,0,0,0,0,0,0
3576,6684,4659,4065,6820,6597,8105
3577,107,209,150,227,128,108
3579,0,0,0,0,0,0
3580,475,445,710,710,833,599
3581,42,24,88,49,49,55
3582,0,0,0,0,0,0
3583,253,365,388,416,461,817
3584,0,0,0,0,0,0
3587,951,660,1040,2067,1827,1050
3588,409,365,1367,831,1181,1078
3591,5048,3435,2191,1080,726,715
3592,787,1157,1231,1076,1133,872
3593,65,41,48,28,24,37
3594,6399,6583,9464,4382,3239,2472
3596,1353,1356,1142,1036,1860,3420
3597,35,74,33,40,119,80
3598,0,0,0,0,0,0
3599,0,0,0,0,0,0
3605,290,273,293,304,280,449
3607,330,199,140,136,154,600
3609,7,10,12,32,31,35
3611,108,103,78,43,35,38
3614,0,0,0,0,0,0
3615,86,172,109,78,80,116
3617,1938,1492,1888,1077,813,505
3622,147,243,140,115,130,280
3623,31,29,39,85,123,194
3624,5775,3389,6233,3686,2634,5048
3625,819,352,296,499,390,436
3628,404,525,209,186,166,368
3629,9,3,9,5,4,6
3630,1127,964,394,415,567,515
3631,9,18,18,50,59,61
3632,38,31,38,25,22,20
3638,0,0,0,0,0,0
3642,0,0,0,0,23,34
3645,283,274,240,271,416,2370
3646,24,54,168,75,75,91
3652,2847,6220,1880,713,423,266
3653,1044,1381,1988,1532,1605,1534
3658,0,0,0,0,0,0
3661,2784,6001,5625,4866,6084,5530
3662,0,0,0,0,0,0
3663,44,144,71,56,62,378
3664,699,609,556,279,304,338
3665,1500,1603,2351,2448,2500,2403
3666,310,325,126,200,195,252
3669,390,268,174,385,351,506
3672,110,30,29,23,26,72
3673,4702,3832,2568,1242,1069,1121
3675,3384,5884,4275,2800,2508,2805
3679,39,54,41,85,69,61
3680,3014,2678,2392,2158,2154,1688
3682,1392,1845,1792,2069,1741,2973
3684,307,407,167,72,65,48
3685,67,58,61,156,227,344
3686,615,287,263,716,552,750
3687,129,125,262,872,624,829
3689,749,673,311,258,249,524
3691,192,211,261,365,384,387
3693,1262,1450,3145,3809,2283,1265
3694,324,203,131,169,288,291
3697,0,0,0,0,0,0
3698,0,0,0,0,0,0
3701,3132,1584,1171,1028,946,2043
3702,3510,3683,3142,4237,4442,4828
3703,3888,2413,1658,1349,2592,2633
3704,4484,4584,6570,7787,4972,3862
3705,522,721,795,2948,1560,913
3706,4286,6104,3607,2795,2334,2560
3707,4476,5667,3659,3567,5189,9945
3708,1366,1685,2080,2551,2600,4319
3709,11,11,20,24,32,35
3710,1308,1339,4137,2649,3670,4311
3711,14411,10450,12129,13283,13174,12711
3712,1362,883,935,957,564,755
3713,92,82,139,247,210,131
3714,3163,6338,3307,3425,3291,4984
3715,1666,1085,840,787,858,507
4102,573,644,1309,4764,3777,2396
4103,0,0,0,0,0,0
4104,345,446,636,462,334,353
4105,736,615,655,1900,1955,1571
4106,387,367,697,2394,1338,1695
4107,388,465,334,248,233,167
4108,227,174,160,206,235,258
4109,329,221,143,127,138,259
4111,131,239,284,898,661,419
4113,794,1001,748,980,549,343
4114,11083,10620,18514,28451,17891,13581
4116,256,347,452,1011,1222,4534
4119,717,776,824,591,594,385
4120,34,90,62,89,190,120
4121,654,1055,815,2475,1566,3455
4123,842,745,884,1372,1237,1249
4126,1256,450,405,386,228,156
4127,146,116,119,313,221,562
4128,2862,3018,5406,6394,10243,8532
4129,952,712,1119,1675,1003,596
4130,879,869,2825,6544,3451,2296
4131,49,26,14,8,17,26
4133,356,310,397,1201,1346,3752
4137,211,765,612,934,524,314
4138,66,122,103,114,71,54
4139,14,23,33,46,87,120
4141,0,0,0,0,0,88
4142,1078,1879,2316,2019,1905,2614
4144,0,0,0,0,0,0
4147,1182,2695,2081,1555,1569,1170
4148,119,264,493,322,691,1230
4152,0,0,0,0,0,0
4153,920,1350,851,909,526,385
4154,9,13,18,30,34,30
4155,1466,1943,2323,2572,1903,1139
4157,1272,1318,1211,2758,2850,3911
4160,31,52,62,118,79,50
4161,415,131,125,519,291,191
4162,2634,1710,3484,7835,11585,9920
4163,2546,1397,1347,997,557,315
4164,8516,8526,5101,2339,1380,1051
4167,2234,3485,3766,15945,8751,4915
4168,941,1061,2246,2718,4629,2975
4171,345,431,449,1665,1177,3995
4173,160,228,200,748,422,529
4174,543,717,733,654,623,867
4175,82,280,185,245,145,380
4180,0,0,0,0,0,0
4183,14,11,8,14,10,16
4188,78,41,54,75,54,50
4190,118,202,349,480,316,181
4192,23,21,30,46,46,99
4198,3,6,8,17,11,18
4205,12,19,29,17,16,18
4207,580,1290,475,309,273,1028
4303,68,172,219,118,143,691
4304,48,47,63,95,135,105
4305,11,9,7,7,5,9
4306,629,687,469,497,570,719
4401,16,24,31,29,32,40
